Type	ID	WaterAmount	EventCost	Experience	LastField
P	5765	19010	44399.85	4.9	20
T	4964	19903	2534.16	5.3	1
P	1471	18746	18443.49	24.4	15
T	7312	13507	62567.87	18.8	4
T	7535	15726	69360.67	4.8	3
T	7068	8235	12789.46	25.3	3
P	9876	11454	99058.42	9.4	40
P	3075	7092	94156.28	10.5	25
T	4471	9409	9158.56	3.3	3
P	1977	17008	98534.4	10.3	15
T	8436	10436	88538.37	24.8	2
T	1056	19074	63646.63	6.8	2
P	9750	17367	32206.63	11.2	10
T	8408	12587	42439.84	14.5	2
T	2052	6042	33936.86	23.5	1
P	6215	9782	16980.29	12.4	20
T	8665	19231	32234.35	24.0	6
P	5386	14801	88976.14	26.8	40
P	6531	13116	23070.16	4.7	20
P	3566	15863	80854.14	29.2	15
